Last_Name_Match,First_Name_Match,DCPS_Student_ID_Match,Birthdate_Match,Match_Type,School_Number,School_Name,Grade_Level,Race_Desc,Gender_Code,FRL,Cumulative_GPA,Days_Enrolled,Days_Absent,Referrals,ISSP,OSSP,iReady_Math_BY,iReady_Math_MY,iReady_MAth_EY,iReady_ELA_BY,iReady_ELA_MY,iReady_ELA_EY,Achieve_BY,Achieve_MY,Achieve_EY,Math_Course_1,Math_Grade_1,Math_Course_2,Math_Grade_2,Math_Course_3,Math_Grade_3,Math_Course_4,Math_Grade_4,English_Course_1,English_Grade_1,English_Course_2,English_Grade_2,English_Course_3,English_Grade_3,English_Course_4,English_Grade_4,Science_Course_1,Science_Grade_1,Science_Course_2,Science_Grade_2,Science_Course_3,Science_Grade_3,AFL,After_School,AmeriCorps,BTS,Gear_Up,SEP
Ealey,Adrian,10001485,01/03/2118,ID,2621,ANDREW A ROBINSON ELEMENTARY SCHOOL,03,Black,M,No,,48,3,0,0,0,Below,Below,Early,Below,Below,Below,Below,Below,Below,MATH GRADE 3,C,,,,,,,LANG ARTS GRADE 3,D,,,,,,,SCIENCE GRADE 3,A,,,,,No,Yes,No,No,No,No
Ealey,Gabrielle,10001486,01/03/2111,ID,1161,SADIE T TILLIS ELEMENTARY  SCHOOL,02,Black,F,No,,48,4,0,0,0,Below,Early,Mid,Early,Early,Mid,,,,MATH GRADE 2,B,,,,,,,LANG ARTS GRADE 2,A,,,,,,,SCIENCE GRADE 2,S,,,,,No,Yes,Yes,No,No,No
Early,Jaidyn,10001487,08/18/2118,ID,2051,PICKETT ELEMENTARY SCHOOL,02,Black,F,No,,48,0,0,0,0,Below,Early,Mid,Mid,Mid,Late,,,,MATH GRADE 2,A,,,,,,,LANG ARTS GRADE 2,B,,,,,,,SCIENCE GRADE 2,S,,,,,No,Yes,No,No,No,No
Eberhart,Daija,10001488,07/04/2114,ID,2121,JEAN RIBAULT MIDDLE SCHOOL,08,Black,F,No,,48,14,1,0,0,Below,,Below,,,,App Text,Meets,App Text,MJ GRADE 8 PRE-ALG,C,,,,,,,MJ INTENS READ (MC),C,MJ LANG ARTS 3,C,,,,,MJ COMPRE SCI 3,C,,,,,Yes,No,No,No,No,No
Ebuen,Graham,10001489,05/17/2115,ID,2541,MAYPORT MIDDLE SCHOOL,07,Asian,M,No,,48,2,0,0,0,,,,,,,Exceeds,Exceeds,Exceeds,ALG 1 HON,B,,,,,,,MJ LANG ARTS 2 ADV,A,,,,,,,MJ COMPRE SCI 2 ADV,B,,,,,No,Yes,No,No,No,No
Edenfield,Samantha,10001490,11/22/2112,ID,2191,JOSEPH STILWELL MIDDLE SCHOOL,08,White,F,No,,48,3,0,0,0,,,,,,,Exceeds,Exceeds,Exceeds,GEO HON,B,,,,,,,MJ LANG ARTS 3 ADV,A,,,,,,,BIO 1 HON,F,,,,,Yes,No,No,No,No,No
Edgerton,Taylor,10001491,01/12/2115,ID,2191,JOSEPH STILWELL MIDDLE SCHOOL,07,White,F,No,,48,0,0,0,0,Early,Early,Early,,,,App Text,Meets,Meets,MJ GRADE 7 MATH ADV,A,,,,,,,MJ LANG ARTS 2 ADV,A,,,,,,,MJ COMPRE SCI 2 ADV,A,,,,,No,Yes,No,No,No,No
Edmond,Janiyah,10001492,05/23/2112,ID,1161,SADIE T TILLIS ELEMENTARY  SCHOOL,KG,Black,F,No,,48,1,0,0,0,Below,Mid,Mid,Below,Early,Mid,,,,MATH GRADE K,E,,,,,,,LANG ARTS GRADE K,S,,,,,,,,,,,,,No,Yes,No,No,No,No
Edward,Brandy,10001493,8/8/1888,ID,0861,TERRY PARKER HIGH SCHOOL,12,Multi,F,No,2.02,48,17,0,0,0,,,,,,,Below,Below,Below,MATH COLL READINESS,D,,,,,,,ENG 4 FL COLL PREP,F,,,,,,,ANAT PHYSIO,C,,,,,No,No,No,No,No,Yes
Edwards,Alexander,10001494,06/22/2115,ID,1551,NORTHWESTERN MIDDLE SCHOOL,06,Black,M,No,,48,15,4,3,1,Below,Below,Below,,,,Below,Below,,MJ GRADE 6 MATH,D,,,,,,,MJ INTENS READ (MC),D,MJ LANG ARTS 1,D,,,,,MJ COMPRE SCI 1,D,,,,,No,Yes,No,No,No,No
Edwards,Blake,10001495,11/07/2112,ID,2191,JOSEPH STILWELL MIDDLE SCHOOL,08,Black,M,No,,48,0,3,0,0,Below,Below,Below,,,,App Read,App Read,App Read,MJ GRADE 8 PRE-ALG,D,,,,,,,MJ INTENS READ (MC),C,MJ LANG ARTS 3,C,,,,,MJ COMPRE SCI 2,B,MJ COMPRE SCI 3,F,,,No,Yes,No,No,No,No
Edwards,Dameon,10001496,08/11/2113,ID,0291,THE BRIDGE,06,Black,M,No,,48,30,0,0,0,Below,,,,,,Below,Below,,MJ GRADE 7 MATH,F,,,,,,,MJ INTENS READ (MC),F,MJ LANG ARTS 2,F,,,,,MJ COMPRE SCI 2,F,,,,,No,No,No,Yes,No,No
Edwards,Daniel,10001497,11/04/2113,ID,2441,HIGHLANDS MIDDLE SCHOOL,08,Black,M,No,,48,2,0,0,0,Below,Below,Below,,,,Below,App Read,App Read,MJ GRADE 8 PRE-ALG,B,,,,,,,MJ INTENS READ (MC),C,MJ LANG ARTS 3,C,,,,,MJ COMPRE SCI 3,D,,,,,No,Yes,No,No,No,No
Edwards,Fabiola,10001498,11/16/2115,ID,2161,JEFFERSON DAVIS MIDDLE SCHOOL,06,Hispanic,F,No,,48,1,0,0,0,Early,Below,Early,,,,App Read,App Read,App Read,MJ GRADE 6 MATH,A,,,,,,,MJ LANG ARTS 1,B,,,,,,,MJ COMPRE SCI 1,C,,,,,Yes,No,No,No,No,No
Edwards,Giselle,10001499,06/21/2111,ID,0291,THE BRIDGE,12,Black,F,Yes,3.18,48,2,1,1,0,,,,,,,Below,App Read,App Read,ALG 2,B,MATH COLL READINESS,A,,,,,ENG 3,B,ENG 4 FL COLL PREP,A,INTENS READ,A,,,,,,,,,No,No,No,Yes,No,No
Edwards,Isaac,10001500,08/27/2115,ID,1561,YWLAYMLA,07,Black,M,No,,48,2,1,1,0,Below,Below,Early,,,,App Read,App Read,App Read,MJ GRADE 7 MATH ADV,B,,,,,,,MJ LANG ARTS 2 ADV,C,,,,,,,MJ COMPRE SCI 2 ADV,A,,,,,Yes,No,No,No,No,No
Edwards,Ja'nee,10001501,08/24/2117,ID,0821,LOVE GROVE ELEMENTARY SCHOOL,03,Black,F,No,,48,3,0,0,0,Below,Below,Below,Below,Below,Early,,App Read,App Read,MATH GRADE 3,D,,,,,,,LANG ARTS GRADE 3,D,,,,,,,SCIENCE GRADE 3,A,,,,,No,No,Yes,No,No,No
Edwards,Jazmine,10001502,01/07/2113,ID,0291,THE BRIDGE,08,Black,F,No,,48,5,0,0,0,Below,Below,Below,,,,App Read,App Read,Below,ALG 1-A,B,,,,,,,ENG 1,B,MJ INTENS READ (MC),C,,,,,PHY SCI,B,,,,,No,No,No,Yes,No,No
Edwards,Kiamarah,10001503,08/13/2112,ID,1581,GEORGE WASHINGTON CARVER ELEM,KG,Black,F,No,,48,11,0,0,0,Below,Below,Below,Below,Early,Early,,,,MATH GRADE K,E,,,,,,,LANG ARTS GRADE K,E,,,,,,,,,,,,,No,Yes,No,No,No,No
Edwards,Malaysia,10001504,08/04/2116,ID,0631,DUNCAN U FLETCHER MIDDLE SCHOOL,06,Black,F,No,,48,13,0,0,0,Below,Below,Below,,,,App Read,App Read,App Read,MJ GRADE 6 MATH,F,,,,,,,MJ LANG ARTS 1 ADV,B,,,,,,,MJ COMPRE SCI 1,C,,,,,No,Yes,No,No,No,No
Edwards,Mehki,10001505,08/31/2114,ID,0631,DUNCAN U FLETCHER MIDDLE SCHOOL,08,Black,M,No,,48,11,0,0,0,Below,Below,Below,,,,Below,Below,Below,MJ GRADE 8 PRE-ALG,C,,,,,,,MJ LANG ARTS 3,D,,,,,,,MJ COMPRE SCI 3,D,,,,,No,Yes,No,No,No,No
Edwards,Ravohn,10001506,11/06/2113,ID,0291,THE BRIDGE,08,Black,M,No,,48,2,0,0,0,Below,Below,Below,,,,App Read,App Read,App Read,MJ GRADE 8 PRE-ALG,C,,,,,,,MJ INTENS READ (MC),B,MJ LANG ARTS 3,B,,,,,MJ COMPRE SCI 3,A,,,,,No,No,Yes,Yes,No,No
Edwards,Rodell,10001507,11/15/2114,ID,1551,NORTHWESTERN MIDDLE SCHOOL,07,Black,M,No,,48,10,0,0,0,,Below,Below,,,,,Below,App Read,MJ GRADE 7 MATH,C,,,,,,,MJ INTENS READ (MC),B,MJ LANG ARTS 2,D,,,,,MJ COMPRE SCI 2,A,,,,,No,Yes,No,No,No,No
Edwards,Serenity,10001508,03/07/2117,ID,1691,S A HULL ELEMENTARY SCHOOL,04,Black,F,No,,48,2,0,0,0,Below,Below,Early,Below,Below,Below,App Read,App Read,App Read,MATH GRADE 4,C,,,,,,,LANG ARTS GRADE 4,C,,,,,,,SCIENCE GRADE 4,A,,,,,No,Yes,No,No,No,No
Edwards,Travis,10001509,04/21/2111,ID,1161,SADIE T TILLIS ELEMENTARY  SCHOOL,02,Black,M,No,,48,0,0,0,0,Below,Below,Below,Below,Below,Below,,,,MATH GRADE 2,F,,,,,,,LANG ARTS GRADE 2,D,,,,,,,SCIENCE GRADE 2,S,,,,,No,No,Yes,No,No,No
Edwards,Viviana,10001510,07/13/2114,ID,2541,MAYPORT MIDDLE SCHOOL,08,Hispanic,F,No,,48,0,0,0,0,Below,Below,Below,,,,App Read,App Read,App Read,MJ GRADE 8 PRE-ALG,B,,,,,,,MJ INTENS READ (MC),B,MJ LANG ARTS 3,C,,,,,MJ COMPRE SCI 3,A,,,,,No,Yes,No,No,No,No
Elder,Raekwon,10001511,05/24/2116,ID,2191,JOSEPH STILWELL MIDDLE SCHOOL,06,Black,M,No,,48,0,0,0,0,Below,Below,Below,,,,App Read,App Read,App Read,MJ GRADE 6 MATH,F,,,,,,,MJ INTENS READ (MC),B,MJ LANG ARTS 1,D,,,,,MJ COMPRE SCI 1,D,,,,,Yes,Yes,No,No,No,No
Elias,Ester,10001512,04/01/2114,ID,2131,ARLINGTON MIDDLE SCHOOL,08,Black,F,No,,48,1,0,0,0,,,,,,,Exceeds,Exceeds,Exceeds,ALG 1 HON,A,,,,,,,MJ LANG ARTS 3 ADV,A,,,,,,,MJ COMPRE SCI 3 ADV,A,,,,,Yes,No,No,No,No,No
Elie,Edwin,10001513,03/15/2111,Name & Bday,2481,EDWARD H WHITE HIGH SCHOOL,11,Multi,M,No,3.23,48,1,0,0,0,,,,,,,Below,Below,App Read,GEO HON,C,INTENS MATH,A,,,,,ENG 3,C,,,,,,,BIO 1,A,,,,,No,No,No,No,No,Yes
Elijah,Morgan,10001514,02/16/2111,ID,0961,JEAN RIBAULT HIGH SCHOOL,12,Black,F,Yes,3.34,48,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,Yes
Ellerton,Ronnie,10001515,01/27/2115,ID,2441,HIGHLANDS MIDDLE SCHOOL,06,Black,M,No,,48,3,0,0,0,Below,Below,Below,,,,Below,Below,Below,MJ GRADE 6 MATH,C,,,,,,,MJ INTENS READ (MC),B,MJ LANG ARTS 1,D,,,,,MJ COMPRE SCI 1,C,,,,,No,Yes,No,No,No,No
Elliott,Chadrick,10001516,12/02/2112,ID,2131,ARLINGTON MIDDLE SCHOOL,07,Black,M,No,,48,27,0,0,0,Below,Below,,,,,Below,Below,,MJ GRADE 7 MATH,F,,,,,,,MJ INTENS READ (MC),C,MJ LANG ARTS 2,F,,,,,MJ COMPRE SCI 2,D,,,,,No,Yes,No,No,Yes,No
Elliott,Patrick,10001517,08/08/2114,ID,0291,THE BRIDGE,06,Black,M,No,,48,2,1,0,0,Below,Below,Below,Below,Below,Below,Below,Below,Below,MJ GRADE 6 MATH,C,,,,,,,MJ LANG ARTS 1,C,,,,,,,MJ COMPRE SCI 1,C,,,,,No,No,No,Yes,No,No
Ellis,Destiny,10001518,08/02/2115,ID,2161,JEFFERSON DAVIS MIDDLE SCHOOL,07,Black,F,No,,48,0,4,2,0,Below,Below,,,,,App Read,App Read,App Read,MJ GRADE 7 MATH ADV,A,,,,,,,MJ LANG ARTS 2,C,,,,,,,MJ COMPRE SCI 2,C,,,,,Yes,No,No,No,No,No
Ellis,Javarious,10001519,07/31/2111,ID,0891,WOODLAND ACRES ELEMENTARY SCHL,02,Black,M,No,,48,7,1,0,1,Below,Below,Below,Below,Below,Below,,,,MATH GRADE 2,F,,,,,,,LANG ARTS GRADE 2,F,,,,,,,SCIENCE GRADE 2,S,,,,,No,Yes,No,No,No,No
Ellis,Kira,10001520,11/14/2118,ID,0891,WOODLAND ACRES ELEMENTARY SCHL,02,Black,F,No,,48,1,0,0,0,Below,Below,Early,Below,Below,Early,,,,MATH GRADE 2,A,,,,,,,LANG ARTS GRADE 2,B,,,,,,,SCIENCE GRADE 2,S,,,,,No,Yes,No,No,No,No
Ellis,Lynn,10001521,01/04/2111,ID,2211,NORMANDY VILLAGE ELEMENTARY SCHOOL,02,White,F,No,,48,0,0,0,0,Below,Below,Below,Below,Below,Below,,,,MATH GRADE 2,B,,,,,,,LANG ARTS GRADE 2,B,,,,,,,SCIENCE GRADE 2,S,,,,,No,Yes,Yes,No,No,No
Ellis,Michael,10001522,11/25/2111,ID,0291,THE BRIDGE,08,Black,M,No,,48,23,0,0,0,Below,,,,,,Below,Below,,ALG 1-A,F,,,,,,,ENG 1,F,,,,,,,PHY SCI,F,,,,,No,No,No,Yes,No,No
Ellis-Kennebrew,Ryann,10001523,07/02/2117,ID,0701,NORTH SHORE ELEMENTARY,05,Black,F,No,,48,4,0,0,0,Below,Below,Below,Below,Below,Below,Below,Below,App Read,MATH GRADE 5,B,,,,,,,LANG ARTS GRADE 5,A,,,,,,,SCIENCE GRADE 5,C,,,,,No,Yes,No,No,No,No
Ellison,Bryant,10001524,02/24/2118,ID,1061,LONG BRANCH ELEMENTARY SCHOOL,03,Multi,M,No,,48,8,0,0,0,Below,Below,Below,Below,Below,Below,Below,Below,Below,MATH GRADE 3,B,,,,,,,LANG ARTS GRADE 3,C,,,,,,,SCIENCE GRADE 3,B,,,,,No,Yes,No,No,No,No
Ellison,Kenneth,10001525,08/31/2113,ID,0291,THE BRIDGE,08,Black,M,No,,48,1,1,0,0,Below,Below,Below,,,,App Read,App Read,App Read,ALG 1-A,A,,,,,,,ENG 1,C,,,,,,,PHY SCI,C,,,,,No,Yes,Yes,Yes,No,No
Ellison,Priscilla,10001526,07/31/2117,ID,1061,LONG BRANCH ELEMENTARY SCHOOL,04,Black,F,No,,48,9,0,0,0,Below,Below,Below,Below,Below,Below,Below,Below,Below,MATH GRADE 4,B,,,,,,,LANG ARTS GRADE 4,C,,,,,,,SCIENCE GRADE 4,C,,,,,No,Yes,No,No,No,No
Ellison,Zayden,10001527,11/08/2111,ID,1661,CARTER G WOODSON ELEM SCHOOL,01,Black,M,No,,48,2,0,0,0,Below,Below,Below,Below,Early,Early,,,,MATH GRADE 1,S,,,,,,,LANG ARTS GRADE 1,S,,,,,,,,,,,,,No,Yes,No,No,No,No
Ellis-Taylor,Destinee,10001528,01/28/2115,ID,2161,JEFFERSON DAVIS MIDDLE SCHOOL,07,Black,F,No,,48,6,6,2,1,,,Below,,,,App Read,App Read,App Read,MJ GRADE 7 MATH,C,,,,,,,MJ INTENS READ (MC),A,MJ LANG ARTS 2,A,,,,,MJ COMPRE SCI 2,F,,,,,No,Yes,No,No,No,No
Elsharif,Zaniyyah,10001529,07/21/2114,ID,1551,NORTHWESTERN MIDDLE SCHOOL,08,Black,F,No,,48,3,0,0,0,Below,Below,Below,,,,App Read,App Read,App Read,MJ GRADE 8 PRE-ALG,A,,,,,,,MJ INTENS READ (MC),B,MJ LANG ARTS 3,A,,,,,MJ COMPRE SCI 3,A,,,,,Yes,No,No,No,No,No
English,Sumayah,10001530,07/06/2116,ID,2441,HIGHLANDS MIDDLE SCHOOL,06,Black,F,No,,48,0,0,0,0,Below,Below,Below,,,,App Read,App Read,App Read,MJ GRADE 6 MATH,C,,,,,,,MJ LANG ARTS 1,B,,,,,,,MJ COMPRE SCI 1,B,,,,,Yes,Yes,No,No,No,No
Enofe,Aisosa,10001531,07/04/2116,ID,2191,JOSEPH STILWELL MIDDLE SCHOOL,06,Black,F,No,,48,0,0,0,0,Below,Below,Early,,,,App Read,App Read,App Read,MJ GRADE 6 MATH,A,,,,,,,MJ LANG ARTS 1 ADV,D,,,,,,,MJ COMPRE SCI 1,B,,,,,Yes,Yes,No,No,No,No
Epting,Jayla,10001532,01/17/2118,ID,0891,WOODLAND ACRES ELEMENTARY SCHL,04,Black,F,No,,48,1,0,0,0,Below,Below,Below,Below,,Early,App Read,App Read,App Read,MATH GRADE 4,B,,,,,,,LANG ARTS GRADE 4,B,,,,,,,SCIENCE GRADE 4,B,,,,,No,Yes,Yes,No,No,No
Erazo-Barrera,Allison,10001533,11/18/2111,ID,0891,WOODLAND ACRES ELEMENTARY SCHL,KG,Hispanic,F,No,,48,1,0,0,0,Below,Below,Mid,Below,Below,Early,,,,MATH GRADE K,E,,,,,,,LANG ARTS GRADE K,S,,,,,,,,,,,,,No,Yes,Yes,No,No,No
Erazo-Barrera,Steven,10001534,08/28/2118,ID,0891,WOODLAND ACRES ELEMENTARY SCHL,03,Hispanic,M,No,,48,2,0,0,0,Early,Mid,Mid,Mid,Late,Late,Meets,Meets,Meets,MATH GRADE 3,A,,,,,,,LANG ARTS GRADE 3,A,,,,,,,SCIENCE GRADE 3,A,,,,,No,Yes,No,No,No,No
Erdmann,Austin,10001535,02/07/2111,ID,2481,EDWARD H WHITE HIGH SCHOOL,11,White,M,No,2.79,48,3,0,0,0,,,,,,,App Read,App Read,Meets,MATH COLL READINESS,C,,,,,,,ENG 3,D,,,,,,,MARINE SCI 1,C,,,,,No,No,No,No,No,Yes
Ervin,Amari,10001536,08/12/2111,ID,1691,S A HULL ELEMENTARY SCHOOL,02,Black,M,No,,48,2,0,0,0,Below,Below,Below,Below,Below,Below,,,,MATH GRADE 2,B,,,,,,,LANG ARTS GRADE 2,A,,,,,,,SCIENCE GRADE 2,S,,,,,No,Yes,Yes,No,No,No
Ervin,Ja'darius,10001537,12/16/2112,ID,0291,THE BRIDGE,08,Black,M,No,,48,8,0,0,0,Below,Below,Below,,,,Below,Below,Below,ALG 1-A,C,,,,,,,ENG 1,A,,,,,,,PHY SCI,B,,,,,No,Yes,Yes,Yes,No,No
Ervin,Le'shawn,10001538,08/04/2114,ID,0291,THE BRIDGE,07,Black,M,No,,48,1,0,0,0,Below,Below,Below,,,,Below,Below,Below,MJ GRADE 7 MATH,C,,,,,,,MJ INTENS READ (MC),A,MJ LANG ARTS 2,A,,,,,MJ COMPRE SCI 2,C,,,,,No,Yes,Yes,Yes,No,No
Ervin,Tekiyah,10001539,11/14/2118,ID,1691,S A HULL ELEMENTARY SCHOOL,02,Black,F,No,,48,16,0,0,0,Below,Below,Below,Below,Below,Below,,,,MATH GRADE 2,C,,,,,,,LANG ARTS GRADE 2,A,,,,,,,SCIENCE GRADE 2,S,,,,,No,Yes,No,No,No,No
Erwin,Jeramie,10001540,07/03/2113,ID,0291,THE BRIDGE,08,White,M,No,,48,10,0,0,0,Below,Below,Below,,,,App Read,App Read,App Read,ALG 1-A,A,,,,,,,ENG 1,A,,,,,,,PHY SCI,A,,,,,No,No,No,Yes,No,No
Escobar,Federico,10001541,11/27/2118,ID,1161,SADIE T TILLIS ELEMENTARY  SCHOOL,02,Hispanic,M,No,,48,1,0,0,0,Below,Mid,Mid,Early,Late,Late,,,,MATH GRADE 2,B,,,,,,,LANG ARTS GRADE 2,A,,,,,,,SCIENCE GRADE 2,S,,,,,No,Yes,No,No,No,No
Escobar-Duarte,Michael,10001542,03/17/2112,ID,1161,SADIE T TILLIS ELEMENTARY  SCHOOL,KG,Hispanic,M,No,,48,1,0,0,0,Below,Below,Below,Below,Below,Early,,,,MATH GRADE K,S,,,,,,,LANG ARTS GRADE K,S,,,,,,,,,,,,,No,Yes,No,No,No,No
Escobar-Duarte,Yesni,10001543,04/03/2111,ID,1161,SADIE T TILLIS ELEMENTARY  SCHOOL,01,Hispanic,F,No,,48,1,0,0,0,Below,Below,Below,Below,Below,Early,,,,MATH GRADE 1,S,,,,,,,LANG ARTS GRADE 1,S,,,,,,,,,,,,,No,Yes,No,No,No,No
Esguerra,India,10001544,01/28/2111,ID,2801,FRANK H PETERSON ACADEMIES,11,Hispanic,F,No,3.12,48,6,0,0,0,,,,,,,App Read,App Read,App Read,ADV TOPICS IN MATH,C,,,,,,,ENG HON 3,B,,,,,,,BIO 1,B,,,,,No,No,No,No,No,Yes
Eskridge,San'tee,10001545,8/11/1888,ID,0351,ANDREW JACKSON HIGH SCHOOL,12,Black,M,Yes,2.24,48,2,0,0,0,,,,,,,Below,Below,Below,ALG 2,C,,,,,,,ENG 4 FL COLL PREP,C,,,,,,,ANAT PHYSIO,C,,,,,No,No,No,No,No,Yes
Ethridge,Alayja,10001546,07/07/2111,ID,0891,WOODLAND ACRES ELEMENTARY SCHL,02,Black,F,No,,48,3,0,0,0,,Below,Below,,,Below,,,,MATH GRADE 2,B,,,,,,,LANG ARTS GRADE 2,C,,,,,,,SCIENCE GRADE 2,S,,,,,No,Yes,No,No,No,No
Etienne,Garvin,10001547,08/11/2115,ID,2161,JEFFERSON DAVIS MIDDLE SCHOOL,07,Black,M,No,,48,1,0,0,0,Below,Below,Below,,,,Meets,Meets,Meets,MJ GRADE 7 MATH ADV,B,,,,,,,MJ LANG ARTS 2,B,,,,,,,MJ COMPRE SCI 2,C,,,,,No,Yes,No,No,No,No
Evans,Alexis,10001548,08/15/2111,ID,2481,EDWARD H WHITE HIGH SCHOOL,11,Black,F,No,2.63,48,3,1,0,0,,,,,,,App Read,App Read,App Read,MATH ANALYSIS HON,B,,,,,,,ENG 3,C,,,,,,,ANAT PHYSIO HON,B,,,,,No,No,No,No,No,Yes
Evans,Antuanette,10001549,02/24/2115,ID,2121,JEAN RIBAULT MIDDLE SCHOOL,07,Black,F,No,,48,4,1,0,1,Below,Below,Below,,,,Below,App Read,App Read,MJ GRADE 7 MATH,B,,,,,,,MJ INTENS READ (MC),B,MJ LANG ARTS 2,C,,,,,MJ COMPRE SCI 2,B,,,,,No,No,No,No,Yes,No
Evans,Breonnah,10001550,03/17/2111,ID,2481,EDWARD H WHITE HIGH SCHOOL,12,Black,F,Yes,2.38,48,4,0,0,0,,,,,,,Below,Below,Below,ALG 2,A,,,,,,,ENG 4 FL COLL PREP,C,,,,,,,MARINE SCI 1,B,,,,,No,No,No,No,No,Yes
Evans,Candace,10001551,11/05/2114,ID,1551,NORTHWESTERN MIDDLE SCHOOL,07,Black,F,No,,48,7,1,0,0,Below,Below,Below,,,,Below,Below,Below,MJ GRADE 7 MATH,C,,,,,,,MJ INTENS READ (MC),A,MJ LANG ARTS 2,B,,,,,MJ COMPRE SCI 2,A,,,,,No,No,No,No,Yes,No
Evans,Deion,10001552,04/28/2114,ID,2161,JEFFERSON DAVIS MIDDLE SCHOOL,07,Multi,M,No,,48,3,3,1,2,Below,Below,,,,,App Read,App Read,App Read,MJ GRADE 7 MATH,B,,,,,,,MJ LANG ARTS 2,C,,,,,,,MJ COMPRE SCI 2,C,,,,,No,Yes,No,No,No,No
Evans,Demetrius,10001553,03/22/2118,ID,1581,GEORGE WASHINGTON CARVER ELEM,03,Black,M,No,,48,3,0,0,0,Below,Below,Below,Below,Below,Early,Below,App Read,App Read,MATH GRADE 3,B,,,,,,,LANG ARTS GRADE 3,B,,,,,,,SCIENCE GRADE 3,A,,,,,No,Yes,No,No,No,No
Evans,Devon,10001554,02/18/2111,ID,0351,ANDREW JACKSON HIGH SCHOOL,12,Black,M,Yes,2.48,48,6,1,0,0,,,,,,,,App Read,Meets,ALG 2,D,,,,,,,ENG 4 FL COLL PREP,B,,,,,,,ANAT PHYSIO,C,,,,,No,No,No,No,No,Yes
Evans,Gabereille,10001555,02/07/2116,ID,2072,J E B STUART MIDDLE SCHOOL,06,Black,F,No,,48,10,0,0,0,Below,Below,Below,,,,App Read,App Read,App Read,MJ GRADE 6 MATH,C,,,,,,,MJ INTENS READ (MC),C,MJ LANG ARTS 1,A,,,,,MJ COMPRE SCI 1,C,,,,,No,Yes,Yes,No,No,No
Evans,Jawon,10001556,07/03/2114,ID,2131,ARLINGTON MIDDLE SCHOOL,08,Black,M,No,,48,5,0,0,0,Below,,,,,,Below,App Read,App Read,ALG 1 HON,B,,,,,,,MJ INTENS READ (MC),B,MJ LANG ARTS 3,A,,,,,MJ COMPRE SCI 3,C,,,,,No,Yes,No,No,No,Yes
Evans,Jayda,10001557,02/15/2117,ID,2211,NORMANDY VILLAGE ELEMENTARY SCHOOL,05,Black,F,No,,48,0,0,0,0,Below,Early,Mid,Below,Below,Below,,App Text,Meets,MATH GRADE 5,A,,,,,,,LANG ARTS GRADE 5,B,,,,,,,SCIENCE GRADE 5,B,,,,,No,Yes,Yes,No,No,No
Evans,Keanu,10001558,06/21/2115,ID,2541,MAYPORT MIDDLE SCHOOL,06,Hispanic,M,No,,48,0,1,0,0,Below,Below,Below,,,,App Read,App Read,Meets,MJ GRADE 6 MATH,B,,,,,,,MJ LANG ARTS 1 ADV,A,,,,,,,MJ COMPRE SCI 1 ADV,A,,,,,No,Yes,No,No,No,No
Evans,Kechaun,10001559,04/17/2118,ID,1581,GEORGE WASHINGTON CARVER ELEM,02,Black,M,No,,48,3,0,0,0,Below,Below,Below,Below,Below,Below,,,,MATH GRADE 2,D,,,,,,,LANG ARTS GRADE 2,C,,,,,,,SCIENCE GRADE 2,S,,,,,No,Yes,No,No,No,No
Evans,Leshan,10001560,01/04/2116,ID,1542,JOHN E FORD K-8 SCHOOL,06,Black,M,No,,48,1,1,0,0,Below,Below,Early,,,,App Read,App Read,App Read,MJ GRADE 6 MATH,B,MJ INTENS MATH (MC),B,,,,,MJ INTENS READ (MC),C,MJ LANG ARTS 1,C,,,,,MJ COMPRE SCI 1,B,,,,,No,No,No,No,No,Yes
Evans,Mikel,10001561,3/12/1888,ID,1651,WILLIAM M RAINES HIGH SCHOOL,12,Black,M,Yes,2.26,48,13,0,0,0,,,,,,,,,,FINANCIAL ALGEBRA,C,,,,,,,,,,,,,,,MARINE SCI 1,F,,,,,No,No,No,No,No,Yes
Evans,Rikeria,10001562,06/05/2114,ID,2121,JEAN RIBAULT MIDDLE SCHOOL,08,Black,F,No,,48,4,1,0,0,Below,Below,Below,,,,App Read,App Read,App Read,MJ GRADE 8 PRE-ALG,C,,,,,,,MJ INTENS READ (MC),B,MJ LANG ARTS 3,C,,,,,MJ COMPRE SCI 3,B,,,,,Yes,No,No,No,No,No
Evans,Roneisha,10001563,08/18/2113,ID,0351,ANDREW JACKSON HIGH SCHOOL,09,Black,F,No,2.25,48,4,0,0,0,,,,,,,Below,Below,Below,ALG 1-A,C,,,,,,,ENG 1,B,INTENS READ,B,,,,,ERTHSPA SCI,C,,,,,No,No,No,No,No,Yes
Evans,Shakira,10001564,08/22/2116,ID,1551,NORTHWESTERN MIDDLE SCHOOL,06,Black,F,No,,48,4,0,0,0,Below,Below,Early,,,,App Read,App Read,App Read,MJ GRADE 6 MATH,A,,,,,,,MJ INTENS READ (MC),B,MJ LANG ARTS 1,A,,,,,MJ COMPRE SCI 1,C,,,,,Yes,No,No,No,No,No
Evans,Tiaja,10001565,05/07/2118,ID,0701,NORTH SHORE ELEMENTARY,04,Black,F,No,,48,2,0,0,0,Below,Early,Mid,Below,Below,Below,App Read,App Read,App Read,MATH GRADE 4,A,,,,,,,LANG ARTS GRADE 4,C,,,,,,,SCIENCE GRADE 4,A,,,,,No,Yes,No,No,No,No
